algo,n,capacity,time_ms,total_value,total_weight,status
dp,1000,10000,34.002,125701.11,10000,ok
dp,2000,10000,69.465,174042.28,10000,ok
dp,3000,10000,105.282,212176.21,10000,ok
dp,4000,10000,146.742,246318.83,10000,ok
dp,5000,10000,177.651,277955.17,10000,ok
dp,6000,10000,209.908,303027.58,10000,ok
dp,7000,10000,246.349,327437.11,10000,ok
dp,8000,10000,282.294,347782.23,10000,ok
dp,9000,10000,311.634,366774.46,10000,ok
dp,10000,10000,346.510,383830.33,10000,ok
dp,20000,10000,692.787,537736.24,10000,ok
dp,40000,10000,1459.798,746218.21,10000,ok
dp,80000,10000,3102.762,1021721.54,10000,ok
dp,160000,10000,14575.053,1378616.05,10000,ok
dp,320000,10000,1457.667,1847103.62,0,ok
dp,1000,100000,217.602,262058.70,50296,ok
dp,2000,100000,457.812,522452.55,100000,ok
dp,3000,100000,715.610,672529.99,100000,ok
dp,4000,100000,957.874,783425.74,100000,ok
dp,5000,100000,1208.605,884815.18,100000,ok
dp,6000,100000,1385.779,970495.89,100000,ok
dp,7000,100000,1561.603,1051489.28,100000,ok
dp,8000,100000,1826.605,1119539.78,100000,ok
dp,9000,100000,1978.021,1185235.25,100000,ok
dp,10000,100000,2628.051,1248333.01,100000,ok
dp,20000,100000,1052.577,1754216.04,0,ok
dp,40000,100000,1830.813,2438770.44,0,ok
dp,80000,100000,3717.392,3431172.51,0,ok
dp,160000,100000,8010.085,4799054.28,0,ok
dp,320000,100000,16541.219,6674530.57,0,ok
dp,1000,1000000,1410.800,262058.70,50296,ok
dp,2000,1000000,935.765,525181.75,0,ok
dp,3000,1000000,1393.960,790405.97,0,ok
dp,4000,1000000,1861.286,1052945.46,0,ok
dp,5000,1000000,2312.750,1321467.67,0,ok
dp,6000,1000000,2764.842,1585925.45,0,ok
dp,7000,1000000,3277.338,1858459.58,0,ok
dp,8000,1000000,3830.104,2118949.06,0,ok
dp,9000,1000000,4426.706,2386059.72,0,ok
dp,10000,1000000,4883.570,2649359.34,0,ok
dp,20000,1000000,10978.326,5274835.62,0,ok
dp,40000,1000000,26296.566,7874902.22,0,ok
dp,80000,1000000,36716.726,11082270.22,0,ok
dp,160000,1000000,72660.156,15643826.53,0,ok
dp,320000,1000000,-1.000,-1.00,-1,timeout
greedy,1000,10000,0.079,125610.77,9985,ok
greedy,2000,10000,0.169,174028.50,9998,ok
greedy,3000,10000,0.258,212144.87,9997,ok
