depth,size
0,1000
1,966
2,461
3,305
4,99
5,92
6,68
7,25
8,3
8,21
9,20
10,11
11,10
12,9
13,7
14,4
15,2
14,2
10,8
11,4
12,2
11,3
12,2
7,42
8,41
9,31
10,16
11,15
12,10
13,2
13,7
14,6
15,4
16,2
12,4
13,2
10,14
11,12
12,11
13,2
13,8
14,7
15,6
16,2
16,3
17,2
9,9
10,8
11,6
12,4
13,2
6,23
7,12
8,3
9,2
8,8
9,6
10,5
11,4
12,3
13,2
7,10
8,8
9,3
10,2
9,4
10,3
5,6
6,4
7,2
4,205
5,153
6,151
7,35
8,26
9,2
9,23
10,7
11,2
11,4
12,3
13,2
10,15
11,14
12,3
13,2
12,10
13,7
14,4
15,3
14,2
13,2
8,8
9,7
10,3
11,2
10,3
11,2
7,115
8,51
9,39
10,26
11,15
12,13
13,12
14,4
15,2
14,7
15,5
16,3
11,10
12,8
13,2
13,5
14,3
15,2
10,12
11,9
12,6
13,5
14,3
15,2
12,2
11,2
9,11
10,9
11,8
12,6
13,3
14,2
13,2
8,63
9,20
10,19
11,11
12,3
13,2
12,7
13,3
14,2
13,3
14,2
11,7
12,6
13,2
13,3
14,2
9,42
10,35
11,18
12,16
13,15
14,2
14,12
15,10
16,4
17,2
16,5
17,4
18,2
11,16
12,15
13,8
14,6
15,4
16,2
13,6
14,4
15,3
16,2
10,6
11,3
11,2
5,51
6,24
7,16
8,10
9,9
10,5
11,2
11,2
10,3
11,2
8,5
9,3
10,2
7,7
8,2
8,4
9,3
6,26
7,24
8,22
9,6
10,2
10,3
11,2
9,15
10,11
11,6
12,2
12,3
13,2
11,4
12,3
10,3
11,2
3,155
4,70
5,13
6,9
7,7
8,5
9,4
10,3
11,2
6,3
5,56
6,19
7,3
7,15
8,12
9,11
10,3
11,2
10,7
11,4
12,2
11,2
8,2
6,36
7,23
8,8
9,5
10,3
9,2
8,14
9,5
10,4
11,3
9,8
10,7
11,6
12,5
13,3
14,2
7,12
8,5
9,4
10,3
8,6
9,2
9,3
10,2
4,84
5,8
6,6
7,2
7,3
8,2
5,75
6,74
7,47
8,34
9,18
10,2
10,15
11,13
12,10
13,6
14,4
15,3
16,2
13,3
14,2
12,2
9,15
10,11
11,2
11,8
12,6
13,5
14,2
14,2
10,3
11,2
8,12
9,5
10,3
11,2
9,6
10,4
11,2
7,26
8,14
9,12
10,7
11,5
12,4
13,3
10,4
11,3
12,2
8,11
9,7
10,6
11,4
12,3
13,2
9,3
10,2
2,504
3,335
4,58
5,7
6,3
6,3
7,2
5,50
6,30
7,8
8,4
9,2
8,3
9,2
7,21
8,20
9,16
10,12
11,6
12,3
13,2
12,2
11,5
12,3
13,2
10,3
11,2
9,3
10,2
6,19
7,6
8,4
9,3
10,2
7,12
8,5
9,3
8,6
9,3
10,2
9,2
4,276
5,159
6,40
7,20
8,19
9,15
10,11
11,10
12,6
13,3
14,2
13,2
12,3
13,2
10,3
11,2
9,3
10,2
7,19
8,18
9,2
9,15
10,12
11,9
12,7
13,6
14,4
15,3
11,2
10,2
6,118
7,42
8,35
9,3
10,2
9,31
10,17
11,14
12,4
13,2
12,9
13,4
14,2
13,4
14,3
15,2
11,2
10,13
11,6
12,5
13,4
14,3
11,6
12,2
12,3
8,6
9,4
10,2
7,75
8,24
9,20
10,14
11,2
11,11
12,2
12,8
13,5
14,2
14,2
13,2
10,5
11,3
9,3
8,50
9,12
10,7
11,3
12,2
11,3
12,2
10,4
11,3
9,37
10,15
11,6
12,4
13,2
11,8
12,7
13,5
14,3
10,21
11,5
12,3
13,2
11,15
12,14
13,7
14,6
15,4
16,2
13,6
14,2
14,3
15,2
5,116
6,86
7,31
8,24
9,9
10,8
11,6
12,5
13,3
9,14
10,7
11,2
11,4
12,2
10,6
11,3
11,2
8,6
9,5
10,4
11,2
7,54
8,11
9,2
9,8
10,7
11,4
12,3
13,2
11,2
8,42
9,17
10,11
11,9
12,8
13,4
14,2
13,3
10,5
11,4
12,2
9,24
10,20
11,7
12,5
13,4
14,3
15,2
11,12
12,11
13,8
14,4
15,2
14,3
13,2
10,3
6,29
7,7
8,4
9,2
8,2
7,21
8,20
9,6
10,4
11,2
9,13
10,3
10,9
11,7
12,6
13,4
14,3
15,2
3,168
4,16
5,15
6,13
7,12
8,9
9,3
10,2
9,5
10,3
11,2
8,2
4,151
5,116
6,66
7,26
8,6
9,2
9,3
10,2
8,19
9,7
10,6
11,4
12,2
9,11
10,4
11,2
10,6
11,3
12,2
11,2
7,39
8,11
9,10
10,2
10,7
11,3
12,2
11,3
12,2
8,27
9,24
10,22
11,17
12,12
13,5
14,4
15,3
13,6
14,2
14,3
15,2
12,4
13,3
14,2
11,4
12,3
13,2
9,2
6,49
7,13
8,7
9,5
10,2
10,2
8,5
9,3
7,35
8,23
9,5
10,3
11,2
9,17
10,12
11,9
12,6
13,5
14,3
15,2
12,2
11,2
10,4
11,3
12,2
8,11
9,9
10,5
11,3
10,3
5,34
6,14
7,9
8,6
9,4
10,3
11,2
8,2
7,4
8,2
6,19
7,16
8,2
8,13
9,7
10,5
11,3
9,5
10,3
11,2
7,2
1,33
2,2
2,30
3,8
4,6
5,4
6,3
7,2
3,21
4,7
5,5
6,4
7,2
4,13
5,12
6,10
7,2
7,7
8,3
8,3
9,2
